0,1,target,task
0.0903305671881299,0.9357422127023556,1,1
0.0815987094116953,0.9297638316130872,1,1
0.1237421454415907,0.8908543264182964,1,1
0.0769608235022652,0.8937840432862634,1,1
0.0755233386980174,0.8449337069357957,1,1
0.0662830329884736,0.7993320812830685,1,1
0.0435456597248142,0.8180368985964581,1,1
0.0523022937497212,0.8654411127461205,1,1
0.0199633499815612,0.8601373146167014,1,1
0.9307025579713292,0.8601373146167014,0,1
0.9263673084670404,0.8687612109438277,0,1
0.9657065154976178,0.8908723742971089,0,1
0.6354432504812386,0.8908723742971089,1,1
0.6064316133234467,0.8701666702926395,1,1
0.6137772081176063,0.8370950013954005,1,1
0.6404662940842383,0.8716981166534061,1,1
0.908513460292428,0.8716981166534061,0,1
0.8851479525662567,0.8678310498721654,0,1
0.9225644829692228,0.8436381794581944,0,1
0.9322746274099176,0.8508442273053288,0,1
0.9346258259716712,0.8321073117876958,0,1
0.8917295891286606,0.8204503520917666,0,1
0.9031183701550184,0.7895756466578437,0,1
0.936559993838844,0.7631762585330963,0,1
0.9780970741395856,0.7575523151520736,0,1
0.6174846627651321,0.7575523151520736,1,1
0.6111822087358585,0.7360757674491312,1,1
0.5696815491901085,0.6924284674740718,1,1
0.6796238738748877,0.6924284674740718,0,1
0.727113111145145,0.6690972856068653,0,1
0.6921189819938306,0.6990053440104803,0,1
0.6527833560367786,0.736885305679394,1,1
0.6090185825707158,0.7114926101100919,1,1
0.6092934018192048,0.757642252003384,1,1
0.5918178799344276,0.7862721185242322,1,1
0.5980375077529791,0.7518882278712669,1,1
0.6418568223726763,0.7732538297646797,1,1
0.6584233417374072,0.8120440687275773,1,1
0.930728386131454,0.8120440687275773,0,1
0.9490897849543006,0.7983917135676144,0,1
0.9450299846702946,0.787550866743162,0,1
0.9910338396475908,0.797112036253116,0,1
0.6728871377728355,0.797112036253116,1,1
0.7142794563383087,0.8459263916034901,1,1
0.709369120096759,0.8663084059102484,1,1
0.675554920662801,0.8291344984195615,1,1
0.7092560550922044,0.820754278100452,1,1
0.7112200369166828,0.8634615585541479,1,1
0.7264081534046313,0.8752058028087848,1,1
0.7507572123326303,0.853035524354876,1,1
0.9371218788109196,0.853035524354876,0,1
0.944489159010534,0.9000970996365819,0,1
0.993035141318706,0.9488811252108325,0,1
0.9546956142693338,0.9075047603306832,0,1
0.9499398734449545,0.9198303309065072,0,1
0.9874932399618922,0.8897466105891858,0,1
0.945321423561135,0.8736777431219901,0,1
0.9725762960423175,0.8791997267658405,0,1
0.9407948782069048,0.8521996104058582,0,1
0.9450910369535792,0.8041145922405701,0,1
0.6866353562563792,0.8041145922405701,1,1
0.6896916845456792,0.8256859944274623,1,1
0.9281106787506288,0.8256859944274623,0,1
0.9609537129962156,0.7988564043354041,0,1
0.920808574384062,0.8138920784053996,0,1
0.9068997590832268,0.7950118123947331,0,1
0.8928475230518116,0.7820921331990126,0,1
0.933949486176096,0.8271807715765565,0,1
0.8903525439580368,0.8177645368910251,0,1
0.6480448887043073,0.8177645368910251,1,1
0.6444640028024256,0.8125575675114852,1,1
0.6478678845087138,0.8520520199899719,1,1
0.6642237760742643,0.8302087442622255,1,1
0.6870245546586697,0.8376113129235617,1,1
0.7097078073903712,0.8655543115792359,1,1
0.8867223106168027,0.8655543115792359,0,1
0.9293949002039258,0.8471723683583201,0,1
0.9190925027100968,0.8161288310753116,0,1
0.9609428106446648,0.837630535174101,0,1
0.922249039612386,0.8254884353111793,0,1
0.9311474102544124,0.8676138517667866,0,1
0.9757543114338816,0.9111611661051476,0,1
0.9756306601159044,0.8731316975934378,0,1
0.632091389267801,0.8731316975934378,1,1
0.5851290644784457,0.9160339206754998,1,1
0.5993000757678341,0.8933381043384365,1,1
0.5596264193700381,0.9039472975744524,1,1
0.5734533095720302,0.8804072876198527,1,1
0.5883021315831065,0.8862715435021864,1,1
0.5647153113884233,0.9119851823199856,1,1
0.5950856967339376,0.8933492834202008,1,1
0.8843534072702949,0.8933492834202008,0,1
0.8364982209850089,0.8905940039949003,0,1
0.8348218804095497,0.914763366070536,0,1
0.6019700471016138,0.914763366070536,1,1
0.6255006710357098,0.9419864180789868,1,1
0.6463271331560082,0.9642823322239782,0,1
0.6565460052331239,0.9393594868913788,1,1
0.6993860089579061,0.900559913930189,1,1
0.7331956688410347,0.8527271455700142,1,1
0.7780430910217578,0.881708422555746,0,1
0.7931641968778991,0.8593579388460961,0,1
0.7909272172211552,0.8622777077145998,0,1
0.7483295939790434,0.8417451240637762,1,1
0.7301055247006764,0.8158296234296486,1,1
0.7770048878385132,0.845762312276882,1,1
0.8075395842029098,0.8726310227636624,0,1
0.8512365392541863,0.8375782098119289,0,1
0.8428069494487062,0.853060766268503,0,1
0.8530715926242227,0.860588936368249,0,1
0.8672604788830173,0.8141620458285957,0,1
0.8195292328376056,0.8098347762173305,0,1
0.8440026782918936,0.8084729419845897,0,1
0.6428177390090868,0.8084729419845897,1,1
0.6487587565603539,0.7891601062495,1,1
0.5998582878605125,0.7831734517333997,1,1
0.622735732836886,0.7908651735625315,1,1
0.592889159980593,0.7573588078061405,1,1
0.5483295062729316,0.7625191720930897,1,1
0.8548412687384697,0.7625191720930897,0,1
0.8561990766127575,0.7494517317266552,0,1
0.8983838481296432,0.7029479093627748,0,1
0.9262499305194845,0.6628294420347057,0,1
0.9008895954663032,0.6815718732430398,0,1
